,City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
53,sitka,us,37.17,-99.65,87.92,39.0,0.0,11.61
54,mahebourg,mu,-20.41,57.7,73.4,88.0,75.0,3.36
55,yulara,au,-25.24,130.99,41.0,75.0,90.0,8.05
56,college,us,64.86,-147.8,76.96,39.0,20.0,4.7
57,caravelas,br,-17.73,-39.27,73.25,100.0,100.0,7.92
58,gamba,ga,-2.72,10.02,74.6,98.0,0.0,12.33
59,kaitangata,nz,-46.28,169.85,33.29,96.0,44.0,5.35
60,aquiraz,br,-3.9,-38.39,84.2,58.0,0.0,16.11
61,avarua,ck,-21.21,-159.78,78.8,78.0,40.0,5.82
62,comodoro rivadavia,ar,-45.87,-67.48,48.2,92.0,0.0,2.24
63,tasiilaq,gl,65.61,-37.64,41.0,80.0,92.0,2.24
65,srednekolymsk,ru,67.46,153.71,68.3,56.0,0.0,3.11
67,thompson,ca,55.74,-97.86,80.6,39.0,20.0,8.05
68,pevek,ru,69.7,170.27,47.78,71.0,0.0,5.28
69,kamenka,ru,53.19,44.05,64.61,52.0,0.0,6.91
70,fecamp,fr,49.76,0.37,55.67,71.0,0.0,8.05
71,saint-pierre,pm,46.77,-56.17,46.4,93.0,75.0,8.05
74,mount isa,au,-20.73,139.49,51.8,37.0,0.0,9.86
75,nanortalik,gl,60.14,-45.24,37.07,95.0,68.0,7.92
76,hovd,mn,48.01,91.64,53.63,97.0,100.0,3.56
77,nikolskoye,ru,59.7,30.79,62.6,88.0,0.0,6.71
78,saint george,bm,32.38,-64.68,80.6,74.0,20.0,18.34
79,xichang,cn,27.88,102.25,59.93,100.0,92.0,1.1
80,busselton,au,-33.64,115.35,55.88,100.0,24.0,4.27
82,egvekinot,ru,66.32,-179.17,50.3,42.0,0.0,2.55
83,lavrentiya,ru,65.58,-170.99,38.6,90.0,44.0,12.88
84,jiayuguan,cn,39.77,98.29,57.32,63.0,68.0,4.05
85,cobija,bo,-11.03,-68.77,86.0,48.0,75.0,9.17
86,beloha,mg,-25.17,45.06,66.05,90.0,92.0,8.63
88,gizo,sb,-8.1,156.84,80.99,100.0,56.0,16.42
89,ostrovnoy,ru,68.05,39.51,44.81,92.0,92.0,4.9
91,sangar,ru,63.92,127.47,59.3,70.0,20.0,3.0
92,hilo,us,19.71,-155.08,72.09,88.0,90.0,8.05
93,plettenberg bay,za,-34.05,23.37,61.55,97.0,0.0,9.82
94,lompoc,us,34.64,-120.46,68.61,41.0,1.0,9.17
95,krasnyy yar,ru,50.7,44.73,65.42,50.0,0.0,6.35
96,can tho,vn,10.04,105.78,76.13,96.0,8.0,3.56
97,richards bay,za,-28.77,32.06,65.6,82.0,0.0,10.87
98,ust-kut,ru,56.78,105.75,55.88,88.0,12.0,2.26
99,bethanien,na,-26.5,17.16,39.95,64.0,0.0,5.39
100,ilulissat,gl,69.22,-51.1,42.8,70.0,75.0,3.36
101,faanui,pf,-16.48,-151.75,78.65,100.0,56.0,15.46
102,ribeira grande,pt,38.52,-28.7,73.4,73.0,75.0,6.93
103,kavaratti,in,10.57,72.64,77.75,100.0,92.0,14.45
104,sinnamary,gf,5.38,-52.96,79.37,100.0,80.0,7.92
105,katsuura,jp,33.93,134.5,64.61,87.0,20.0,2.48
106,gaoyou,cn,32.79,119.43,67.58,82.0,88.0,7.63
107,sydney,au,-33.85,151.22,41.68,93.0,20.0,8.05
108,saskylakh,ru,71.97,114.09,57.77,77.0,88.0,13.56
109,talnakh,ru,69.49,88.39,53.63,88.0,92.0,0.81
110,oranjemund,na,-28.55,16.43,58.67,99.0,0.0,8.03
111,vaini,to,-21.2,-175.2,75.2,88.0,75.0,3.36
112,castro,cl,-42.48,-73.76,45.89,100.0,92.0,8.63
113,kloulklubed,pw,7.04,134.26,75.2,94.0,75.0,3.36
114,cherskiy,ru,68.75,161.3,59.93,54.0,0.0,2.59
115,cape town,za,-33.93,18.42,57.2,87.0,75.0,20.8
116,general pico,ar,-35.66,-63.75,55.97,37.0,0.0,7.25
117,hualmay,pe,-11.1,-77.61,68.12,70.0,0.0,5.61
118,manta,ec,-0.95,-80.73,78.8,74.0,90.0,4.7
119,tiangua,br,-3.73,-40.99,81.62,52.0,0.0,4.56
120,hami,cn,42.84,93.51,69.74,57.0,44.0,0.98
121,bandarbeyla,so,9.49,50.81,78.11,81.0,20.0,33.2
122,esperance,au,-33.86,121.89,43.91,87.0,24.0,7.25
123,khatanga,ru,71.98,102.47,55.25,95.0,92.0,19.1
125,roebourne,au,-20.77,117.15,58.13,33.0,0.0,15.64
126,port keats,au,-14.25,129.55,63.98,66.0,0.0,15.86
127,rocha,uy,-34.48,-54.34,46.88,75.0,0.0,14.97
128,morant bay,jm,17.88,-76.41,84.2,74.0,40.0,16.11
129,mana,gf,5.67,-53.78,74.33,98.0,76.0,2.1
130,hithadhoo,mv,-0.6,73.08,83.06,100.0,80.0,6.73
131,budureasa,ro,46.68,22.5,73.4,78.0,0.0,10.29
132,harper,lr,4.38,-7.71,79.19,100.0,92.0,12.95
133,thinadhoo,mv,0.53,72.93,81.98,100.0,92.0,8.25
134,kendari,id,-3.99,122.52,72.71,99.0,92.0,2.55
135,brae,gb,60.4,-1.35,48.2,70.0,80.0,20.8
136,constitucion,mx,23.99,-104.67,82.4,17.0,75.0,9.17
137,uravakonda,in,14.95,77.26,76.22,75.0,64.0,12.39
138,waipawa,nz,-39.94,176.59,43.01,91.0,92.0,4.5
139,cabo san lucas,mx,22.89,-109.91,83.37,45.0,5.0,11.41
140,muhos,fi,64.81,26,57.2,62.0,0.0,3.36
141,lishui,cn,28.45,119.91,69.2,99.0,92.0,2.1
142,port hardy,ca,50.7,-127.42,55.4,87.0,75.0,9.17
143,hobart,au,-42.88,147.33,42.8,75.0,40.0,10.29
144,sooke,ca,48.37,-123.73,63.07,77.0,90.0,10.29
145,hofn,is,64.25,-15.21,51.8,81.0,90.0,5.82
147,salalah,om,17.01,54.1,82.4,88.0,75.0,8.05
148,hermanus,za,-34.42,19.24,55.52,92.0,76.0,8.03
149,xam nua,la,20.42,104.04,71.09,82.0,56.0,3.71
152,barstow,us,31.46,-103.39,92.05,36.0,1.0,8.05
153,tunceli,tr,39.11,39.55,70.56,41.0,0.0,8.05
154,shubarkuduk,kz,49.15,56.49,65.51,33.0,0.0,11.27
155,okhotsk,ru,59.36,143.24,45.89,100.0,92.0,12.62
156,byron bay,au,-28.65,153.62,59.0,67.0,76.0,11.41
157,jamestown,sh,-15.94,-5.72,70.73,100.0,64.0,19.15
158,ponferrada,es,42.55,-6.59,60.47,99.0,44.0,1.99
159,victoria,sc,-4.62,55.45,78.8,88.0,40.0,12.75
160,kango,ga,0.19,10.1,74.6,83.0,88.0,3.56
161,osa,ru,57.28,55.46,52.28,98.0,92.0,8.86
162,chapais,ca,49.78,-74.86,59.0,35.0,1.0,11.41
163,yerbogachen,ru,61.28,108.01,63.35,91.0,56.0,3.0
166,torbay,ca,47.66,-52.73,66.2,59.0,75.0,26.4
167,manzhouli,cn,49.6,117.43,59.57,67.0,36.0,5.79
168,teguise,es,29.06,-13.56,69.8,68.0,75.0,11.41
170,new norfolk,au,-42.78,147.06,42.8,75.0,40.0,10.29
171,north bend,us,43.41,-124.22,60.8,82.0,90.0,4.7
174,porto novo,cv,17.02,-25.06,77.0,69.0,20.0,17.22
175,nueva italia,py,-25.61,-57.47,82.4,48.0,0.0,3.36
176,lagoa,pt,37.14,-8.45,71.6,78.0,20.0,5.82
177,maningrida,au,-12.05,134.23,68.93,94.0,0.0,14.9
179,uruzgan,af,32.93,66.63,41.75,53.0,0.0,1.99
180,nea peramos,gr,38.0,23.42,73.22,69.0,40.0,4.7
181,yasothon,th,15.8,104.15,73.88,95.0,80.0,5.61
182,saint-philippe,re,-21.36,55.77,69.67,56.0,75.0,5.82
183,le port,re,-20.94,55.29,69.89,82.0,0.0,6.93
184,rampura,in,24.47,75.44,78.2,82.0,20.0,11.39
186,palmer,us,61.6,-149.11,61.09,82.0,1.0,2.82
187,cidreira,br,-30.17,-50.22,64.61,95.0,100.0,18.43
188,norman wells,ca,65.28,-126.83,69.8,68.0,75.0,11.41
189,saldanha,za,-33.01,17.94,57.2,93.0,68.0,11.41
190,borogontsy,ru,62.67,131.17,61.1,56.0,80.0,3.56
191,dingle,ie,52.14,-10.27,54.8,99.0,0.0,12.06
192,narsaq,gl,60.91,-46.05,41.0,86.0,75.0,3.89
193,chokurdakh,ru,70.62,147.9,51.47,83.0,0.0,7.29
196,popondetta,pg,-8.77,148.24,65.42,92.0,20.0,1.48
197,gimbi,et,8.81,37.79,46.07,90.0,8.0,2.48
198,kysyl-syr,ru,63.9,122.77,59.03,83.0,0.0,2.48
199,anchorage,us,61.22,-149.89,61.03,72.0,75.0,1.21
201,kurikka,fi,62.62,22.4,52.63,76.0,90.0,6.93
202,tuktoyaktuk,ca,69.44,-133.03,44.6,81.0,75.0,9.17
203,sokoto,ng,13.06,5.24,80.45,72.0,68.0,10.04
204,kununurra,au,-15.77,128.74,53.6,54.0,0.0,3.36
205,chester,us,37.91,-89.82,78.87,83.0,75.0,5.82
206,sulphur,us,30.24,-93.38,80.85,79.0,1.0,5.82
207,tura,ru,64.27,100.22,54.8,99.0,24.0,2.71
209,denpasar,id,-8.65,115.22,80.6,78.0,20.0,16.11
210,samarai,pg,-10.62,150.67,77.48,100.0,64.0,19.71
211,lensk,ru,60.71,114.91,54.35,88.0,0.0,2.37
212,port blair,in,11.67,92.75,84.86,94.0,88.0,17.65
213,greenwood,us,34.2,-82.16,89.91,46.0,40.0,4.7
214,fenyi,cn,27.82,114.69,74.69,99.0,92.0,2.37
215,duekoue,ci,6.74,-7.35,76.85,85.0,92.0,6.8
216,lorengau,pg,-2.02,147.27,83.06,100.0,48.0,6.8
217,pacifica,us,37.61,-122.49,70.45,87.0,90.0,10.29
218,chuy,uy,-33.69,-53.46,53.18,72.0,0.0,17.47
219,azul,ar,-36.78,-59.86,50.84,44.0,0.0,11.05
220,san patricio,mx,19.22,-104.7,87.8,66.0,75.0,11.41
221,pangnirtung,ca,66.15,-65.72,37.4,86.0,75.0,14.99
222,kieta,pg,-6.22,155.63,77.57,100.0,88.0,3.56
223,poum,nc,-20.23,164.02,71.9,100.0,100.0,15.3
225,grand gaube,mu,-20.01,57.66,73.4,88.0,75.0,3.36
226,entre rios,bo,-21.53,-64.17,75.2,27.0,20.0,11.41
227,danilov,ru,58.19,40.17,54.35,81.0,0.0,4.61
228,bjornevatn,no,69.67,29.98,43.77,100.0,75.0,4.7
229,shitanjing,cn,39.23,106.34,50.39,88.0,0.0,1.03
230,gopalur,in,16.62,77.8,72.8,96.0,100.0,8.37
231,yellowknife,ca,62.45,-114.38,73.4,40.0,75.0,14.99
232,sebaco,ni,12.85,-86.1,83.15,86.0,48.0,4.05
233,terney,ru,45.05,136.61,57.95,81.0,44.0,10.38
234,christiana,za,-27.91,25.16,45.35,62.0,0.0,5.35
235,marawi,sd,18.48,31.82,90.35,36.0,0.0,6.29
236,nueva concepcion,gt,14.2,-91.3,86.02,66.0,40.0,9.17
237,gayeri,bf,12.65,0.49,83.15,57.0,76.0,11.05
238,rawson,ar,-43.3,-65.11,47.6,35.0,20.0,13.62
239,batagay-alyta,ru,67.8,130.41,62.45,49.0,0.0,4.05
240,jutai,br,-1.71,-47.89,74.96,99.0,56.0,4.61
241,esperantinopolis,br,-4.87,-44.71,82.43,58.0,12.0,3.49
242,kadoma,zw,-18.34,29.91,66.77,45.0,92.0,8.75
243,vanimo,pg,-2.67,141.3,82.7,100.0,80.0,7.85
244,matagami,ca,49.76,-77.63,62.6,39.0,75.0,9.17
245,tecoanapa,mx,16.99,-99.26,87.8,70.0,40.0,5.82
247,fortuna,us,40.6,-124.16,60.8,77.0,20.0,11.41
248,bud,no,62.91,6.91,50.61,76.0,75.0,9.17
250,sioux lookout,ca,50.1,-91.92,84.88,37.0,40.0,6.93
251,kothapet,in,17.37,78.55,82.4,69.0,40.0,5.82
252,whitehorse,ca,60.72,-135.06,69.8,43.0,90.0,14.99
253,tagusao,ph,9.19,117.81,80.72,96.0,48.0,5.01
254,khairagarh,in,21.42,80.98,75.68,89.0,68.0,3.71
255,sarangani,ph,5.4,125.46,81.08,100.0,12.0,5.84
256,goure,ne,13.98,10.27,74.33,88.0,12.0,6.58
257,namibe,ao,-15.19,12.15,68.21,100.0,0.0,9.6
259,kimberley,ca,49.68,-115.98,78.8,36.0,20.0,4.7
260,leningradskiy,ru,69.38,178.42,32.75,96.0,0.0,12.55
261,longyearbyen,sj,78.22,15.64,42.8,70.0,40.0,6.93
262,ribas do rio pardo,br,-20.45,-53.76,78.38,42.0,56.0,4.34
263,upernavik,gl,72.79,-56.15,34.1,92.0,92.0,1.32
264,chipinge,zw,-20.19,32.62,56.6,90.0,0.0,3.56
265,novouzensk,ru,50.46,48.14,69.38,39.0,0.0,9.86
266,jizan,sa,16.89,42.56,91.4,75.0,0.0,9.17
267,vao,nc,-22.67,167.48,71.18,100.0,76.0,14.34
269,kromy,ru,52.69,35.77,60.92,77.0,0.0,2.77
270,east london,za,-33.02,27.91,68.12,100.0,0.0,10.94
272,teya,ru,60.37,92.63,54.8,85.0,0.0,3.22
274,asosa,et,10.07,34.53,64.7,95.0,24.0,2.59
275,alofi,nu,-19.06,-169.92,77.0,94.0,75.0,5.82
276,bathsheba,bb,13.22,-59.52,78.8,83.0,40.0,21.92
277,tomatlan,mx,19.93,-105.25,85.94,53.0,32.0,6.13
278,mayo,ca,63.59,-135.9,80.6,32.0,75.0,2.24
279,lahat,id,-3.78,103.55,75.41,93.0,68.0,6.29
280,helena,us,46.59,-112.04,71.6,56.0,1.0,8.05
281,promissao,br,-21.54,-49.86,77.03,46.0,44.0,4.12
282,mehamn,no,71.03,27.85,43.99,93.0,75.0,4.7
283,fukue,jp,35.03,136.69,69.8,68.0,40.0,9.17
286,souris,ca,46.36,-62.25,62.6,55.0,40.0,11.41
287,coquimbo,cl,-29.95,-71.34,55.4,76.0,0.0,8.05
289,sept-iles,ca,50.2,-66.38,60.8,39.0,75.0,9.17
290,lebu,cl,-37.62,-73.65,52.82,100.0,68.0,7.14
292,tome,cl,-36.62,-72.95,57.2,62.0,0.0,10.29
293,luganville,vu,-15.51,167.18,77.3,100.0,88.0,12.88
294,port hedland,au,-20.31,118.58,55.4,54.0,0.0,6.93
295,wadena,ca,51.95,-103.8,83.78,51.0,36.0,4.56
296,kruisfontein,za,-34.0,24.73,56.6,91.0,0.0,9.31
297,riyadh,sa,24.63,46.72,96.8,9.0,0.0,9.17
299,fuerte olimpo,py,-21.04,-57.87,80.9,56.0,0.0,5.39
300,cabrero,cl,-37.04,-72.4,54.25,71.0,75.0,3.36
301,havoysund,no,71.0,24.66,45.52,93.0,90.0,9.17
302,oltu,tr,40.55,42,53.36,91.0,56.0,1.21
303,takoradi,gh,4.89,-1.75,79.01,95.0,80.0,11.32
304,eureka,us,40.8,-124.16,60.8,77.0,75.0,11.41
305,arman,ru,59.7,150.17,46.4,93.0,40.0,4.47
306,oktyabrskoye,ru,56.73,85.44,61.37,62.0,8.0,6.4
307,dunedin,nz,-45.87,170.5,21.23,81.0,0.0,4.72
308,gautier,us,30.39,-88.61,89.64,62.0,75.0,11.41
309,russellville,us,35.28,-93.13,89.6,43.0,1.0,14.99
310,georgetown,sh,-7.93,-14.42,78.29,100.0,36.0,19.93
312,formosa,br,-15.55,-47.33,70.46,53.0,8.0,6.06
313,touros,br,-5.2,-35.46,79.91,77.0,80.0,15.86
314,biak,id,-0.91,122.88,75.59,100.0,92.0,1.88
315,cairns,au,-16.92,145.77,68.0,72.0,75.0,11.41
317,luz,br,-19.79,-45.68,71.09,53.0,0.0,4.05
318,virginia beach,us,36.85,-75.98,87.67,66.0,75.0,8.05
319,pingxiang,cn,27.63,113.85,71.99,98.0,88.0,1.54
320,buraydah,sa,26.33,43.97,96.8,20.0,0.0,10.29
321,wanaka,nz,-44.7,169.14,15.65,88.0,8.0,2.04
322,presidencia roque saenz pena,ar,-26.79,-60.44,77.21,64.0,8.0,7.92
324,daulatpur,pk,26.5,67.97,89.6,52.0,0.0,9.17
325,boksitogorsk,ru,59.47,33.85,59.39,92.0,36.0,5.35
326,tautira,pf,-17.73,-149.15,82.4,65.0,20.0,2.24
327,kaniama,cd,-7.57,24.18,66.77,56.0,32.0,3.49
328,kindu,cd,-2.95,25.92,71.45,95.0,12.0,2.48
329,weligama,lk,5.97,80.42,73.7,100.0,92.0,9.31
330,berlevag,no,70.86,29.09,42.82,93.0,75.0,4.7
331,dalvik,is,65.97,-18.53,55.4,71.0,75.0,14.99
332,eydhafushi,mv,5.1,73.07,83.42,97.0,92.0,19.44
333,porto santo,pt,33.07,-16.34,67.24,82.0,75.0,17.22
334,maceio,br,-9.67,-35.74,80.6,65.0,20.0,12.75
335,tayga,ru,64.77,43.49,54.17,94.0,24.0,4.79
336,kavieng,pg,-2.57,150.8,83.06,100.0,36.0,5.73
337,diego de almagro,cl,-26.39,-70.05,66.23,74.0,0.0,2.71
338,omboue,ga,-1.57,9.26,75.23,98.0,8.0,14.56
339,inirida,co,3.87,-67.92,78.65,81.0,76.0,2.04
340,dikson,ru,73.51,80.55,34.82,88.0,0.0,17.92
341,cortes,ph,9.28,126.19,72.17,100.0,44.0,3.27
342,nouadhibou,mr,20.93,-17.03,69.8,77.0,0.0,24.16
343,ekhabi,ru,53.51,142.97,43.46,100.0,92.0,13.56
344,makakilo city,us,21.35,-158.09,82.24,51.0,20.0,5.82
345,mackenzie,ca,55.34,-123.09,75.2,53.0,20.0,8.05
346,porkhov,ru,57.77,29.55,73.4,49.0,24.0,8.95
347,russell,nz,-35.26,174.12,48.41,87.0,0.0,11.88
348,sao filipe,cv,14.9,-24.5,73.88,98.0,0.0,11.88
349,sorong,id,-0.86,131.25,75.59,100.0,88.0,4.12
350,calatayud,es,41.35,-1.64,80.62,50.0,0.0,4.7
351,ketchikan,us,55.34,-131.65,57.18,77.0,40.0,9.17
352,tiksi,ru,71.64,128.87,48.77,71.0,68.0,3.89
354,manokwari,id,-0.87,134.08,78.74,100.0,44.0,1.03
355,bougouni,ml,11.42,-7.49,86.12,43.0,24.0,8.14
357,cabedelo,br,-6.97,-34.84,79.82,84.0,92.0,14.67
359,ocampo,mx,27.32,-102.4,86.3,35.0,56.0,12.66
360,agadez,ne,16.97,7.99,85.67,46.0,68.0,15.68
361,puerto berrio,co,6.49,-74.4,87.2,62.0,8.0,2.89
362,leh,in,34.16,77.58,30.68,99.0,88.0,1.36
363,kiunga,pg,-6.12,141.3,71.27,98.0,100.0,1.88
364,bonfim,br,-20.33,-44.24,77.92,36.0,20.0,2.24
365,renqiu,cn,38.71,116.1,75.59,58.0,76.0,8.63
366,saint marys,us,41.43,-78.56,77.59,41.0,1.0,8.05
367,abonnema,ng,4.71,6.79,72.98,90.0,48.0,7.25
369,tynda,ru,55.15,124.74,53.18,84.0,56.0,4.61
370,katangli,ru,51.71,143.23,42.47,99.0,92.0,11.43
371,isangel,vu,-19.55,169.27,72.53,100.0,12.0,13.4
372,vanavara,ru,60.35,102.28,62.99,67.0,8.0,4.61
373,ambon,id,-3.7,128.18,77.0,94.0,75.0,6.93
374,clinton,us,41.84,-90.19,67.42,100.0,90.0,13.87
376,jamame,so,0.07,42.75,76.58,85.0,92.0,11.43
377,ponta do sol,cv,17.2,-25.09,72.8,100.0,8.0,14.34
379,bilibino,ru,68.06,166.44,62.81,50.0,64.0,3.11
380,tottori,jp,35.5,134.23,56.15,96.0,20.0,2.21
381,tieli,cn,46.98,128.05,61.46,81.0,36.0,4.05
383,vila velha,br,-3.71,-38.6,84.2,58.0,0.0,16.11
384,tobane,bw,-21.91,28.04,52.91,83.0,0.0,3.83
385,koundara,gn,12.49,-13.3,87.38,56.0,12.0,9.15
386,la ronge,ca,55.1,-105.3,87.8,35.0,40.0,8.05
387,kaeo,nz,-35.1,173.78,48.41,87.0,0.0,11.88
388,nalut,ly,31.86,10.98,76.04,42.0,0.0,9.75
389,carbonia,it,39.17,8.53,75.43,88.0,0.0,3.36
390,san miguel,ec,-1.71,-79.04,62.6,51.0,75.0,20.8
391,aurillac,fr,44.93,2.44,71.6,56.0,0.0,6.93
392,half moon bay,us,37.46,-122.43,66.96,82.0,90.0,10.29
393,acapulco,mx,16.86,-99.88,87.8,70.0,40.0,5.82
394,ormara,pk,25.21,64.64,84.5,92.0,32.0,9.86
395,bubaque,gw,11.28,-15.83,84.2,62.0,0.0,11.41
396,dandong,cn,40.12,124.37,55.61,100.0,36.0,2.1
397,tongchuan,cn,34.9,108.95,71.6,60.0,0.0,4.47
398,coahuayana,mx,18.62,-100.35,81.53,41.0,44.0,2.82
399,escarcega,mx,18.61,-90.75,80.9,91.0,36.0,2.33
400,amga,ru,60.89,131.98,54.08,68.0,76.0,5.91
401,mnogovershinnyy,ru,53.94,139.92,45.17,100.0,92.0,2.48
402,deputatskiy,ru,69.3,139.9,67.31,23.0,0.0,4.23
403,machilipatnam,in,16.18,81.14,85.4,76.0,48.0,10.27
404,nadym,ru,65.53,72.51,55.61,94.0,80.0,6.06
405,cuamba,mz,-14.8,36.54,66.23,81.0,8.0,8.63
406,kudahuvadhoo,mv,2.67,72.89,81.98,100.0,20.0,10.38
407,fremont,us,37.55,-121.99,65.39,87.0,90.0,10.29
408,tuatapere,nz,-46.13,167.69,34.73,100.0,0.0,2.71
409,tondon,gn,10.37,-13.36,75.77,82.0,88.0,3.83
410,matara,lk,5.95,80.54,73.7,100.0,92.0,9.31
411,port said,eg,25.34,30.55,92.87,22.0,0.0,11.05
412,cabinda,ao,-5.56,12.19,74.6,100.0,0.0,12.44
413,galesong,id,-5.32,119.37,75.2,100.0,20.0,5.84
414,maniitsoq,gl,65.42,-52.9,38.24,88.0,92.0,3.38
415,klin,ru,56.34,36.74,66.2,72.0,0.0,2.24
416,ribeira brava,pt,32.65,-17.07,68.0,72.0,40.0,10.29
417,shimoda,jp,34.7,138.93,71.18,100.0,44.0,1.77
418,prince rupert,ca,54.32,-130.32,55.4,87.0,75.0,6.93
419,luderitz,na,-26.65,15.16,56.6,82.0,0.0,14.18
420,daru,pg,-9.07,143.21,77.93,93.0,68.0,20.04
421,onufriyivka,ua,48.91,33.45,67.13,70.0,0.0,3.56
422,udachnyy,ru,66.42,112.4,60.02,71.0,8.0,4.79
423,heyang,cn,26.1,107.47,69.11,99.0,92.0,3.11
424,kahului,us,20.89,-156.47,80.46,65.0,20.0,17.22
425,mucurici,br,-18.09,-40.52,70.01,72.0,32.0,5.39
426,san luis,cu,20.19,-75.85,86.0,58.0,40.0,8.05
427,arrecife,es,28.96,-13.55,71.6,60.0,75.0,10.29
428,koslan,ru,63.46,48.9,60.56,81.0,68.0,7.85
429,atambua,id,-9.11,124.89,75.5,100.0,0.0,11.88
430,olenino,ru,56.21,33.48,67.58,61.0,68.0,12.55
431,sechura,pe,-5.56,-80.82,71.45,82.0,0.0,10.65
433,sorochinsk,ru,52.43,53.15,66.41,35.0,0.0,13.67
434,posse,br,-14.08,-46.36,75.59,39.0,0.0,8.37
435,itarema,br,-2.92,-39.92,82.7,60.0,12.0,11.27
436,aksu,cn,41.12,80.26,53.45,64.0,44.0,5.73
437,alta floresta,br,-9.87,-56.08,86.57,46.0,36.0,2.82
438,barra patuca,hn,15.8,-84.28,83.78,91.0,36.0,13.62
440,port-de-bouc,fr,43.4,4.98,77.4,73.0,0.0,5.82
442,alexandria,eg,31.2,29.89,81.59,69.0,40.0,8.05
443,karratha,au,-20.74,116.85,58.13,33.0,0.0,15.64
444,sorland,no,67.67,12.69,46.4,87.0,75.0,12.75
447,nagykoros,hu,47.03,19.78,75.81,73.0,0.0,6.93
448,gangakher,in,18.95,76.75,73.61,93.0,80.0,4.56
450,bulgan,mn,48.81,103.53,51.11,88.0,12.0,2.59
451,revelstoke,ca,50.99,-118.19,71.6,60.0,75.0,3.36
452,namwala,zm,-15.75,26.45,65.33,65.0,80.0,9.31
453,ankazobe,mg,-18.32,47.12,55.4,87.0,20.0,5.82
454,provideniya,ru,64.42,-173.23,44.6,75.0,0.0,4.47
455,iqaluit,ca,63.75,-68.52,35.6,80.0,75.0,8.05
456,vardo,no,70.37,31.11,43.0,100.0,90.0,5.82
457,hobyo,so,5.35,48.53,75.77,83.0,12.0,22.35
458,manuk mangkaw,ph,4.8,119.85,83.33,100.0,36.0,5.23
